"Equity_CMOTSCode","MF_CMOTSCode","mf_cocode","AMCName","ETFName","ISIN","ETFCategory","BSEListed","NSEListed","Sector"
"64950","29307","17424","LIC Mutual Fund","LIC Nomura MF G-Sec Long Term ETF","INF767K01MV5","Debt ETFs","N","Y","Government Securities"
"65854","29913","6051","SBI Mutual Fund","SBI Nifty Next 50 ETF","INF200KA1598","Equity ETFs","N","Y","Broad Market"
"65855","29912","6051","SBI Mutual Fund","SBI ETF Nifty Bank","INF200KA1580","Equity ETFs","Y","Y","Banks"
"65856","29914","6051","SBI Mutual Fund","SBI ETF BSE 100","INF200KA1572","Equity ETFs","Y","N","Broad Market"
"66326","30734","19712","Nippon India Mutual Fund","Nippon India ETF Nifty 50 Value 20","INF204KB18I3","Equity ETFs","N","Y","Broad Market"
"66551","31027","6051","SBI Mutual Fund","SBI ETF Nifty 50","INF200KA1FS1","Equity ETFs","Y","Y","Broad Market"
"66787","31233","23411","UTI Mutual Fund","UTI BSE Sensex ETF","INF789FB1X58","Equity ETFs","Y","Y","Broad Market"
"66788","31234","23411","UTI Mutual Fund","UTI Nifty 50 ETF","INF789F1AZC0","Equity ETFs","Y","Y","Broad Market"
"67150","31582","17424","LIC Mutual Fund","LIC Nomura MF ETF - NIFTY 50 - Growth Plan","INF767K01OS7","Equity ETFs","Y","Y","Broad Market"
"67180","31593","17424","LIC Mutual Fund","LIC Nomura MF ETF - SENSEX","INF767K01OT5","Equity ETFs","Y","Y","Broad Market"
"67196","31766","21273","HDFC Mutual Fund","HDFC Nifty 50 ETF","INF179KC1965","Equity ETFs","Y","Y","Broad Market"
"67225","31658","20327","Kotak Mahindra Mutual Fund","Kotak NV 20 ETF - Dividend Payout Option","INF174KA1ZE1","Equity ETFs","N","Y","Broad Market"
"67326","31767","21273","HDFC Mutual Fund","HDFC BSE Sensex ETF","INF179KC1HX2","Equity ETFs","Y","Y","Broad Market"
"67928","32459","17424","LIC Mutual Fund","LIC Nomura MF ETF - Nifty 100","INF767K01PC8","Equity ETFs","Y","Y","Broad Market"
